Designator,Mid X,Mid Y,Rotation,Layer
C1,173.0,-107.5,180.0,top
C2,134.743622,-93.8,90.0,top
C3,171.6909,-110.48,0.0,top
C4,130.0544,-93.75,90.0,top
C5,132.398958,-93.790126,90.0,top
C6,125.3818,-97.34,180.0,top
CH1,150.0,-100.0,180.0,top
IC1,166.755,-106.61,180.0,top
JMP_BTN1,161.0,-107.5,90.0,top
JMP_BTN2,161.0,-105.5,270.0,top
JMP_BTN3,161.0,-103.5,270.0,top
JMP_BTN4,161.0,-101.5,270.0,top
JMP_BTN5,161.0,-99.5,270.0,top
JMP_BTN6,161.0,-97.5,270.0,top
JMP_BTN7,161.0,-95.5,270.0,top
JMP_BTN8,161.0,-93.5,270.0,top
R1,175.83,-96.06,90.0,top
R2,139.5,-92.75,180.0,top
R3,139.5,-94.911394,180.0,top
R4,143.2425,-91.08,0.0,top
R5,156.79,-91.13,180.0,top
STM32F402K6,135.9096,-101.401,0.0,top
SW1,168.275,-95.775,0.0,top
USB1,150.0,-83.335,180.0,top
